rank,title,artist
1,Rich Men North Of Richmond,Oliver Anthony Music
2,Fast Car,Luke Combs
3,Last Night,Morgan Wallen
4,Cruel Summer,Taylor Swift
5,Paint The Town Red,Doja Cat
6,Calm Down,Rema & Selena Gomez
7,Fukumean,Gunna
8,Vampire,Olivia Rodrigo
9,Dance The Night,Dua Lipa
10,Barbie World,Nicki Minaj & Ice Spice With Aqua
11,Snooze,SZA
12,All My Life,Lil Durk Featuring J. Cole
13,Flowers,Miley Cyrus
14,Religiously,Bailey Zimmerman
15,Karma,Taylor Swift Featuring Ice Spice
16,Need A Favor,Jelly Roll
17,What Was I Made For?,Billie Eilish
18,Anti-Hero,Taylor Swift
19,Kill Bill,SZA
20,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
21,Thinkin' Bout Me,Morgan Wallen
22,Meltdown,Travis Scott Featuring Drake
23,Bad Idea Right?,Olivia Rodrigo
24,Try That In A Small Town,Jason Aldean
25,Cupid,Fifty Fifty
26,Call Your Friends,Rod Wave
27,Dial Drunk,Noah Kahan With Post Malone
28,Qlona,Karol G & Peso Pluma
29,Love You Anyway,Luke Combs
30,I Know ?,Travis Scott
31,Mi Ex Tenia Razon,Karol G
32,Seven,Jung Kook Featuring Latto
33,Favorite Song,Toosii
34,Watermelon Moonshine,Lainey Wilson
35,Bury Me In Georgia,Kane Brown
36,Ella Baila Sola,Eslabon Armado X Peso Pluma
37,Next Thing You Know,Jordan Davis
38,Search & Rescue,Drake
39,La Bebe,Yng Lvcas x Peso Pluma
40,Daylight,David Kushner
41,What It Is (Block Boy),Doechii Featuring Kodak Black
42,Put It On Da Floor Again,Latto Featuring Cardi B
43,Telekinesis,Travis Scott Featuring SZA & Future
44,FE!N,Travis Scott Featuring Playboi Carti
45,LaLa,Myke Towers
46,Chemical,Post Malone
47,Your Heart Or Mine,Jon Pardi
48,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
49,Peaches & Eggplants,Young Nudy Featuring 21 Savage
50,K-POP,"Travis Scott, Bad Bunny & The Weeknd"
51,Un x100to,Grupo Frontera X Bad Bunny
52,Where She Goes,Bad Bunny
53,Deli,Ice Spice
54,White Horse,Chris Stapleton
55,Truck Bed,HARDY
56,Princess Diana,Ice Spice & Nicki Minaj
57,Tulum,Peso Pluma & Grupo Frontera
58,Sabor Fresa,Fuerza Regida
59,Pretty Little Poison,Warren Zeiders
60,Everything I Love,Morgan Wallen
61,Standing Room Only,Tim McGraw
62,Popular,"The Weeknd, Playboi Carti & Madonna"
63,Area Codes,Kaliii
64,Jaded,Miley Cyrus
65,Johnny Dang,"That Mexican OT, Paul Wall & DRODi"
66,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
67,Shake Sumn,DaBaby
68,Barely Holdin' On,Polo G
69,S91,Karol G
70,Save Me,Jelly Roll With Lainey Wilson
71,In Your Love,Tyler Childers
72,Angels Don't Always Have Wings,Thomas Rhett
73,Oh U Went,Young Thug Featuring Drake
74,I Can See You (Taylor's Version) (From The Vault),Taylor Swift
75,Stand By Me,Lil Durk Featuring Morgan Wallen
76,Dawns,Zach Bryan Featuring Maggie Rogers
77,F*ck U Thought,Lil Durk
78,"You, Me, & Whiskey",Justin Moore & Priscilla Block
79,TQM,Fuerza Regida
80,Super Shy,NewJeans
81,Oklahoma Smokeshow,Zach Bryan
82,Speed Drive,Charli XCX
83,Turn Yo Clic Up,Quavo & Future
84,See You Again,"Tyler, The Creator Featuring Kali Uchis"
85,Amargura,Karol G
86,Lagunas,Peso Pluma & Jasiel Nunez
87,Rubicon,Peso Pluma
88,Aint Gotta Dollar,Oliver Anthony Music
89,Mona Lisa,Dominic Fike
90,Good Good,"Usher, Summer Walker & 21 Savage"
91,My Eyes,Travis Scott
92,Lose Control,Teddy Swims
93,Summer Too Hot,Chris Brown
94,The Painter,Cody Johnson
95,Heartbroken,"Diplo, Jessie Murph & Polo G"
96,Topia Twins,Travis Scott Featuring Rob49 & 21 Savage
97,El Amor de Su Vida,Grupo Frontera & Grupo Firme
98,Fight The Feeling,Rod Wave
99,"Burn, Burn, Burn",Zach Bryan
100,Girl In Mine,Parmalee
